CustomerID,Gender,Age,Tenure,MonthlyCharges,ContractType,InternetService,SupportCalls,PaymentMethod,Churn
CUST0073,Male,43,33,106.71,Two Year,DSL,9,Credit Card,0
CUST0074,Female,31,40,111.32,One Year,DSL,7,Debit Card,0
CUST0075,Male,56,39,71.13,One Year,No,9,Debit Card,0
CUST0076,Female,44,1,70.15,Two Year,DSL,1,UPI,0
CUST0077,Female,26,11,99.83,One Year,No,4,Credit Card,0
CUST0078,Female,32,57,85.0,Month-to-Month,DSL,8,Credit Card,0
CUST0079,Male,32,50,90.2,Month-to-Month,DSL,3,Net Banking,1
CUST0080,Female,43,23,99.58,Month-to-Month,Fiber,5,UPI,0
CUST0081,Male,59,31,109.0,Two Year,Fiber,0,UPI,0
CUST0082,Female,30,42,53.8,One Year,No,8,UPI,1
CUST0083,Male,68,7,57.56,Month-to-Month,Fiber,0,UPI,0
CUST0084,Female,49,16,29.4,Two Year,No,4,Credit Card,0
CUST0085,Male,56,60,77.83,One Year,Fiber,3,Credit Card,0
CUST0086,Male,66,2,23.59,Two Year,DSL,2,Debit Card,0
CUST0087,Female,69,1,66.56,Month-to-Month,No,5,Debit Card,1
CUST0088,Male,49,48,74.26,Month-to-Month,No,1,UPI,0
CUST0089,Female,21,12,48.65,Month-to-Month,DSL,2,UPI,0
CUST0090,Female,47,69,79.08,Two Year,No,4,UPI,0
CUST0091,Female,54,37,23.05,Two Year,No,8,Debit Card,0
CUST0092,Female,40,32,23.73,Month-to-Month,Fiber,1,Net Banking,0
CUST0093,Female,56,9,102.26,Two Year,No,9,Net Banking,0
CUST0094,Female,62,19,56.02,Month-to-Month,DSL,7,Debit Card,0
CUST0095,Female,32,48,32.71,Month-to-Month,Fiber,1,Debit Card,1
CUST0096,Female,60,3,72.22,One Year,Fiber,4,Debit Card,0
CUST0097,Female,46,20,97.0,Two Year,DSL,6,Debit Card,0
CUST0098,Female,53,24,41.58,Month-to-Month,DSL,7,Debit Card,0
CUST0099,Female,30,54,82.29,Month-to-Month,Fiber,0,Debit Card,0
CUST0100,Male,49,33,28.53,Two Year,No,5,UPI,0
